scoring_date,ACCOUNT_ID,SKU_ID,rank,score,k_recommended,model,generation_ts
2022-09-01,26647,19086,6,3.7143,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.929478Z
2022-09-01,26647,19337,7,3.2469,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.929485Z
2022-09-01,26647,16667,8,3.1146,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.929491Z
2022-09-01,26647,816,9,3.0966,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.929498Z
2022-09-01,26647,13952,10,2.9914,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.929505Z
2022-09-01,26647,810,11,2.9849,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.929511Z
2022-09-01,26647,25033,12,2.9585,12,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.929518Z
2022-09-01,26838,7026,1,2.0085,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.864138Z
2022-09-01,26838,21972,2,1.4441,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.864145Z
2022-09-01,26838,7038,3,1.011,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.864151Z
2022-09-01,26838,21970,4,0.9717,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.864158Z
2022-09-01,26838,19341,5,0.6102,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.864165Z
2022-09-01,26933,7651,1,4.7448,11,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.047186Z
2022-09-01,26933,24118,2,4.0013,11,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.047193Z
2022-09-01,26933,7038,3,3.3415,11,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.047200Z
2022-09-01,26933,2201,4,3.303,11,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.047206Z
2022-09-01,26933,19089,5,3.1121,11,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.047213Z
2022-09-01,26933,24880,6,2.8809,11,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.047219Z
2022-09-01,26933,19088,7,2.5582,11,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.047226Z
2022-09-01,26933,7026,8,2.5516,11,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.047233Z
2022-09-01,26933,7475,9,2.4668,11,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.047239Z
2022-09-01,26933,25119,10,2.3594,11,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.047246Z
2022-09-01,26933,26567,11,2.353,11,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.047252Z
2022-09-01,27085,7651,1,3.362,11,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.087337Z
2022-09-01,27085,7038,2,3.1044,11,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.087344Z
2022-09-01,27085,16936,3,2.6412,11,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.087351Z
2022-09-01,27085,17991,4,2.6177,11,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.087357Z
2022-09-01,27085,19399,5,2.5745,11,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.087364Z
2022-09-01,27085,16667,6,2.2213,11,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:20.087370Z
